"Video asset ID","Universal video ID","Page ID","Page name",Title,"Duration (sec)","Publish time","Custom labels",Comment,Date,"Views by top audience (M)","Views by top audience (F)","Views by top audience (13-17, F)","Views by top audience (13-17, M)","Views by top audience (18-24, F)","Views by top audience (18-24, M)","Views by top audience (25-34, F)","Views by top audience (25-34, M)","Views by top audience (35-44, F)","Views by top audience (35-44, M)","Views by top audience (45-54, F)","Views by top audience (45-54, M)","Views by top audience (55-64, F)","Views by top audience (55-64, M)","Views by top audience (65+, F)","Views by top audience (65+, M)","Views by top audience (13-17)","Views by top audience (18-24)","Views by top audience (25-34)","Views by top audience (35-44)","Views by top audience (45-54)","Views by top audience (55-64)","Views by top audience (65+)","Averaged Seconds Viewed","Unique Video 60-Second Views","Seconds Viewed","60-Second Video Views","3-Second Video Views","People reached",Likes,Comments,Shares,Impressions,"Views by country (Philippines (PH))","Views by country (New Zealand (NZ))","Views by country (Chile (CL))","Views by country (Czech Republic (CZ))","Views by country (Belgium (BE))","Views by country (Romania (RO))","Views by country (Portugal (PT))","Views by country (Sweden (SE))","Views by country (Pakistan (PK))","Views by country (Malaysia (MY))","Views by country (Denmark (DK))","Views by country (Slovakia (SK))","Views by country (Turkey (TR))","Views by country (Thailand (TH))","Views by country (Bulgaria (BG))","Views by country (Austria (AT))","Views by country (Trinidad and Tobago (TT))","Views by country (Ukraine (UA))","Views by country (Serbia (RS))","Views by country (Costa Rica (CR))","Views by country (Norway (NO))","Views by country (Israel (IL))","Views by country (Ecuador (EC))","Views by country (Egypt (EG))","Views by country (Indonesia (ID))","Views by country (United States (US))","Views by country (Canada (CA))","Views by country (United Kingdom (GB))","Views by country (Mexico (MX))","Views by country (Australia (AU))","Views by country (France (FR))","Views by country (Germany (DE))","Views by country (Brazil (BR))","Views by country (Spain (ES))","Views by country (Greece (GR))","Views by country (South Africa (ZA))","Views by country (Poland (PL))","Views by country (Netherlands (NL))","Views by country (Puerto Rico (PR))","Views by country (Ireland (IE))","Views by country (Italy (IT))","Views by country (India (IN))","Views by country (Argentina (AR))","Views by country (Colombia (CO))","Views by country (Hungary (HU))","Views by country (Peru (PE))","Views by country (Singapore (SG))","Views by country (Guatemala (GT))","Views by country (Dominican Republic (DO))","Views by country (Lithuania (LT))","Views by country (Algeria (DZ))","Views by country (Réunion (RE))","Views by country (Tunisia (TN))","Views by country (Croatia (HR))","Views by country (Switzerland (CH))","Views by country (Uruguay (UY))","Views by country (Finland (FI))","Views by country (Bangladesh (BD))","Views by country (Slovenia (SI))","Views by country (Hong Kong (HK))","Views by country (Myanmar (MM))","Views by country (Mongolia (MN))","Views by country (Estonia (EE))","Views by country (Cuba (CU))","Views by country (United Arab Emirates (AE))","Views by country (Venezuela (VE))","Views by country (Latvia (LV))","Views by country (Nicaragua (NI))","Views by country (Honduras (HN))","Views by country (Paraguay (PY))","Views by country (Japan (JP))","Views by country (Sri Lanka (LK))","Views by country (Bosnia and Herzegovina (BA))","Views by country (Macedonia (MK))","Views by country (Syria (SY))","Views by country (El Salvador (SV))","Views by country (Bolivia (BO))"
773139391185797,,201765839840980,Hometalk,"6 brilliant ways to makeover Dollar Store bins!",189,"05/02/2023 15:05",,,Lifetime,9380,134100,124,46,1653,304,9794,981,20976,1543,30637,1833,35694,2090,35222,2583,173,1993,10841,22697,32694,38047,38155,23.33,38009,6915243.37,38034,144600,326857,1850,37,658,350482,521,407,771,780,674,402,498,380,456,333,297,355,249,197,370,281,,206,224,224,171,196,196,216,,90205,7944,5055,4840,2183,2931,1810,2158,1825,1320,1344,1337,817,887,613,1497,869,1003,1057,1188,196,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783635919706663,,201765839840980,Hometalk,"Stuff a pool noodle in a frame for this brilliant decor idea!",482,"05/03/2023 15:05",,,Lifetime,6061,97760,46,19,662,125,3384,407,8528,624,16916,915,30084,1473,38140,2498,66,805,3828,9244,17971,31844,41094,42.9,40926,9122540.16,41238,104858,295349,1447,85,209,299785,227,462,257,331,366,220,263,236,153,126,163,203,107,83,162,145,79,95,145,,80,131,,91,,71847,8177,3891,1386,2733,1712,1092,548,941,761,906,579,660,338,473,696,369,318,254,520,,,,,79,,,,100,87,,,,,,,,,,,,,,,,,,,,,,
1245012433053211,,201765839840980,Hometalk,"Every mom is going to want to COPY this room makeover!",197,"05/04/2023 15:05",,,Lifetime,2459,29952,21,8,284,55,1486,188,3502,345,5601,450,8539,542,10519,871,29,344,1686,3888,6110,9177,11496,15.42,6885,1472098.46,6885,32731,99245,523,30,35,106318,188,135,95,171,151,104,108,89,102,79,76,91,58,47,118,57,38,51,105,,,62,42,,,20163,2055,1557,583,676,592,398,246,466,381,332,264,218,123,187,318,197,154,104,379,47,,,,,,,,42,49,,,,,,,,37,,,,,,,,,,,,,,
679514353896368,,201765839840980,Hometalk,"11 budget ways to fake high-end decor!",184,"05/05/2023 15:05",,,Lifetime,4386,55015,59,10,630,116,4085,494,8591,738,12708,918,14732,956,14210,1154,70,756,4603,9395,13734,15808,15489,16.2,9154,2203780.24,9571,59855,151078,500,10,129,157462,383,247,258,336,322,249,252,161,205,160,174,166,131,158,159,127,,106,188,,,98,87,114,,34340,3406,3009,1506,1049,1478,865,569,989,637,725,642,450,299,360,639,470,370,378,717,72,,,,,85,,,105,87,,,,,,,,,,,,,,,,,,,,,,
935353774452293,,201765839840980,Hometalk,"12 DIY ideas to surprise your mom with this Mother’s Day!",210,"05/07/2023 15:05",,,Lifetime,21057,261259,1080,222,8136,1229,41070,3859,61056,4950,60072,4298,51175,3454,38670,3045,1310,9426,45091,66296,64703,54951,42032,23.81,51741,12111093.61,51741,283810,559727,6061,56,1735,561782,1435,598,4523,1853,1266,967,1307,,1530,531,575,1094,,592,776,,,,,1580,,,1542,657,,93434,8403,7733,34133,2719,5593,2999,29969,3637,2642,2400,2473,1324,2252,877,3213,3668,8915,14391,2732,4483,,3744,2263,,,,,,,954,,,,,,,,604,,763,,1457,941,542,,,,,,,
1819928118439583,,201765839840980,Hometalk,"She HATED her dingy deck, so look what she did!",114,"05/08/2023 15:05",,,Lifetime,5246,60194,24,8,389,78,1972,271,5036,500,10114,783,18171,1324,24488,2282,32,476,2262,5593,11017,19685,27061,17.3,20686,2722293.86,21210,66126,180028,749,37,42,183823,213,345,122,158,215,128,130,162,84,84,181,77,,56,105,91,48,50,65,,76,54,,,45,46075,5448,3043,619,1921,750,531,280,442,394,485,302,353,161,226,308,218,158,80,367,,,,,,,,,52,63,,49,,50,,,,,,,,,,,,,,,,,,
662419019230023,,201765839840980,Hometalk,"5 genius ways to upgrade your patio this summer!",182,"05/09/2023 15:05",,,Lifetime,11068,163039,83,29,1417,247,9879,999,23322,1739,37802,2219,46941,2628,43595,3207,114,1698,10943,25287,40363,49990,47276,21.19,31363,7213887.89,31894,175670,380921,1846,31,393,407116,694,630,726,1241,1210,662,741,534,503,322,446,646,273,255,567,452,,265,396,185,265,284,,181,,101679,11236,8752,3124,3106,5319,3152,1175,3176,2101,1902,1649,1251,795,1110,2789,1059,1162,711,2178,,,,,194,,,,298,270,,,,,,,,,,,,,,,,,,,,,,
249141381109917,,201765839840980,Hometalk,"Iron a soda can - this is brilliant!",294,"05/10/2023 15:05",,,Lifetime,35571,345123,237,75,3199,838,21691,3189,45928,5493,72229,6917,101423,8833,100416,10226,315,4108,25047,51844,79798,111146,111683,46.59,152255,30750883.42,152255,383951,728183,2970,290,514,810201,1526,1773,1486,1881,1498,959,980,1225,1204,687,1031,860,613,505,667,741,418,453,595,438,567,765,,430,,239388,20371,21727,7575,9476,6312,4677,2705,5497,3088,6180,2537,2854,1424,2335,2992,2691,2916,1794,3251,,,,,,,,,553,445,,,,,,,,,,,,,,,,,,,,,,
3327233404192567,,201765839840980,Hometalk,"5 gorgeous ways to upcycle a $2 Walmart ball!",190,"05/12/2023 10:05",,,Lifetime,15248,205545,233,87,3358,668,21950,2263,39850,3090,48898,3017,51073,3048,40183,3075,321,4088,24354,43258,52311,54541,43643,24.05,41018,9897958.81,41018,222517,433943,2595,305,774,467803,852,711,1170,1855,1462,860,783,744,746,394,641,890,320,,666,539,,307,446,473,308,323,,390,,125177,11872,8947,10516,3036,5730,3611,2501,2786,2530,2279,2722,1552,1796,1058,2482,1367,1652,2065,3212,349,,,333,347,,,,434,,,,,,,,,,,,,,,,,,,,,,,
1189497215090556,,201765839840980,Hometalk,"Everyone will be rethinking their backyard after seeing this!",177,"05/12/2023 15:05",,,Lifetime,203118,290031,208,323,3552,4508,31550,39750,63274,67850,59065,40744,64715,27987,67667,21956,540,8178,71711,132524,100867,93561,90587,29.01,164210,25663450.16,164210,497973,931795,3860,111,288,949689,2197,2478,1810,9970,6640,6187,1950,4154,,,3264,4595,1552,2062,3139,3210,,2143,2006,,1595,1615,,,1098,205102,25875,23635,4921,8801,40198,20015,3160,5158,5045,3622,16698,5229,1211,3493,10715,2566,2240,,9728,,,,,2638,1152,,,2311,1698,,,,1614,,,,1191,,,,,,,,,,1740,,,,
