"Video asset ID","Universal video ID","Page ID","Page name",Title,"Duration (sec)","Publish time","Custom labels",Comment,Date,"People reached",Comments,Shares,Likes,"3-Second Video Views","Seconds Viewed","Averaged Seconds Viewed","Views by top audience (18-24, M)","Views by top audience (18-24, F)","Views by top audience (13-17, M)","Views by top audience (13-17, F)","Views by top audience (65+, M)","Views by top audience (65+, F)","Views by top audience (55-64, M)","Views by top audience (55-64, F)","Views by top audience (45-54, M)","Views by top audience (45-54, F)","Views by top audience (35-44, M)","Views by top audience (35-44, F)","Views by top audience (25-34, M)","Views by top audience (25-34, F)","Views by top audience (M)","Views by top audience (F)","Unique Video 60-Second Views","60-Second Video Views",Impressions,"Views by top audience (65+)","Views by top audience (55-64)","Views by top audience (45-54)","Views by top audience (35-44)","Views by top audience (25-34)","Views by top audience (18-24)","Views by top audience (13-17)","Views by country (United States (US))","Views by country (United Kingdom (GB))","Views by country (Canada (CA))","Views by country (France (FR))","Views by country (Germany (DE))","Views by country (Mexico (MX))","Views by country (Spain (ES))","Views by country (Greece (GR))","Views by country (Poland (PL))","Views by country (Australia (AU))","Views by country (Brazil (BR))","Views by country (Hungary (HU))","Views by country (South Africa (ZA))","Views by country (Netherlands (NL))","Views by country (Italy (IT))","Views by country (Colombia (CO))","Views by country (Belgium (BE))","Views by country (Ireland (IE))","Views by country (Puerto Rico (PR))","Views by country (Ukraine (UA))","Views by country (Argentina (AR))","Views by country (Portugal (PT))","Views by country (Slovakia (SK))","Views by country (Philippines (PH))","Views by country (Pakistan (PK))","Views by country (Denmark (DK))","Views by country (Sweden (SE))","Views by country (India (IN))","Views by country (Algeria (DZ))","Views by country (Israel (IL))","Views by country (Romania (RO))","Views by country (Serbia (RS))","Views by country (Egypt (EG))","Views by country (Norway (NO))","Views by country (New Zealand (NZ))","Views by country (Bulgaria (BG))","Views by country (Austria (AT))","Views by country (Chile (CL))","Views by country (Croatia (HR))","Views by country (Peru (PE))","Views by country (Macedonia (MK))","Views by country (Iraq (IQ))","Views by country (Iceland (IS))","Views by country (Bosnia and Herzegovina (BA))","Views by country (Malaysia (MY))","Views by country (Czech Republic (CZ))","Views by country (Cuba (CU))","Views by country (Lithuania (LT))","Views by country (Thailand (TH))","Views by country (Ecuador (EC))","Views by country (Switzerland (CH))","Views by country (Costa Rica (CR))","Views by country (Turkey (TR))","Views by country (Dominican Republic (DO))","Views by country (Guatemala (GT))","Views by country (Slovenia (SI))","Views by country (Indonesia (ID))","Views by country (Hong Kong (HK))","Views by country (Trinidad and Tobago (TT))","Views by country (El Salvador (SV))","Views by country (United Arab Emirates (AE))","Views by country (Finland (FI))","Views by country (Singapore (SG))","Views by country (Uruguay (UY))","Views by country (Bangladesh (BD))","Views by country (Jamaica (JM))","Views by country (Guyana (GY))","Views by country (Tunisia (TN))","Views by country (Mongolia (MN))","Views by country (Sri Lanka (LK))","Views by country (Myanmar (MM))","Views by country (Vietnam (VN))","Views by country (Cyprus (CY))","Views by country (Réunion (RE))","Views by country (Georgia (GE))","Views by country (Venezuela (VE))","Views by country (Bolivia (BO))","Views by country (Honduras (HN))","Views by country (Guam (GU))","Views by country (Namibia (NA))"
592632246023161,,201765839840980,Hometalk,"6 gorgeous ways to give your plain candles a totally new look!",199,"01/13/2023 10:01",,,Lifetime,126751,8,104,434,41982,1273982.97,12.07,90,489,12,35,939,9426,689,9845,598,8769,550,6658,366,3217,3244,38439,5432,5432,126751,10444,10608,9430,7263,3602,586,49,19633,2138,2023,1562,912,2644,830,636,915,446,841,618,388,371,705,447,248,230,292,103,426,330,177,175,102,141,156,207,,76,193,102,66,,120,168,171,311,74,151,,,,,87,451,,118,,79,77,89,,,71,,,,,,,,,,,,,,,,,,,,,,,,,
713866183440844,,201765839840980,Hometalk,"Brilliant ways to fake high end storage on a Dollar Store budget!",202,"01/14/2023 10:01",,,Lifetime,5268785,1206,37645,59151,2508475,111525631.02,23.3,12281,94008,1338,4339,30524,273232,34931,401586,41638,497237,51215,577127,46658,427035,218585,2274564,520709,522653,5403603,306205,439176,541741,631714,476351,107512,5752,1384388,43615,114075,73995,35489,146042,27944,17634,33145,18186,61978,14770,16891,9476,44911,24456,14819,,11710,4486,23123,14736,6407,29003,14007,4448,4920,17322,8558,4506,8404,,6680,,,5782,5808,16778,,6122,,,,,19890,20926,,6213,15682,6654,,5918,,5388,5167,,5388,,,,,,,,,,,,7305,,,,,,,,,,,
3319929631554868,,201765839840980,Hometalk,"Turn Dollar Store mini crates into a brilliant kitchen organizer!",188,"01/15/2023 10:01",,,Lifetime,623991,44,2393,4043,215223,9697040.02,19.41,508,4060,76,233,2985,31285,2899,44045,2951,51314,2645,45364,1736,23552,13800,199853,48850,49348,648570,34573,47304,54648,48309,25438,4637,311,111298,5108,10928,9284,4593,18247,3586,1837,3413,1867,4169,1462,1243,1073,4528,2514,1570,451,1399,323,2184,1573,555,904,553,403,501,912,365,355,636,,381,,332,523,641,1309,,649,,,,,530,2049,,419,711,440,319,544,,,513,,,,,,,,,,,,,,,,,,,,,,,,,
910268940408665,,201765839840980,Hometalk,"Why everyone's buying magic erasers this month",182,"01/16/2023 10:01",,,Lifetime,146814,56,213,699,54767,2121693.34,17.94,106,445,12,24,1449,14762,1050,13640,853,10730,598,7177,371,3168,4439,49946,10358,10442,153211,16348,14788,11648,7825,3562,558,38,28862,2828,2994,2299,1231,1612,1098,718,1091,592,551,1235,430,487,877,244,418,301,245,92,360,400,605,159,100,170,215,143,,94,219,111,,74,130,152,191,211,103,81,,,,61,62,796,,130,,,83,91,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
856644975548663,,201765839840980,Hometalk,"Brilliant ways to fake high end decor for less!",192,"01/17/2023 10:01",,,Lifetime,591326,26,1968,6264,255973,10587359.86,21.36,1206,4808,208,463,3466,31371,3685,49696,4495,62036,4751,56801,3342,27966,21153,233141,54605,54728,596146,35140,53713,66910,61929,31495,6109,674,67598,7312,9017,10057,5152,39376,5565,4566,6055,2158,13238,2736,2469,1274,9476,5263,1991,836,1243,989,6195,2370,1174,2031,1772,,732,3693,1460,626,1617,676,972,,,1085,898,3351,,1575,,,,,820,2920,,1074,1398,949,,911,,961,1061,,,,,,,,,,,,,740,,,,,,,,,,,,
413729940928368,,201765839840980,Hometalk,"Rub coffee on your furniture for this genius hack!",191,"01/18/2023 15:01",,,Lifetime,191487,49,198,562,71656,2561418.15,13.73,140,567,15,38,2156,21728,1447,17776,1167,12636,973,8248,515,3657,6413,64650,13404,13486,214605,24096,19374,13920,9295,4197,719,54,43540,3325,4354,1495,803,2131,1015,681,732,1146,738,663,544,486,753,342,356,414,296,124,462,293,201,346,161,187,180,527,,90,256,120,,,257,201,157,286,145,122,,,,,162,416,,91,134,76,,83,105,,,,,,77,,,,,,,,,,,,,,,,,,,,,
3329124764009147,,201765839840980,Hometalk,"The stunning way to use your evergreen wreath after Christmas!",182,"01/19/2023 10:01",,,Lifetime,132463,29,80,602,36785,1200619.04,9.79,104,357,14,30,1023,10979,660,8975,565,6689,499,4325,338,1919,3203,33274,4157,4205,139244,12118,9713,7306,4863,2273,467,45,19139,1788,1860,1020,648,1527,625,607,1045,321,473,613,200,248,640,329,179,206,210,84,289,233,166,165,88,118,108,255,,,210,106,57,,79,175,123,225,81,121,57,,,,60,428,,80,55,,,58,69,,63,,,,,,,,,,,,,,,,,,,,,,,,,
1133837903947308,,201765839840980,Hometalk,"Stick foam to a mini crate for this wild decor idea!",183,"01/20/2023 10:01",,,Lifetime,2413224,337,10274,35889,941025,38249122.78,18.47,3742,45283,481,2170,6562,70348,8709,135256,12024,217281,13543,236037,11549,173167,56610,879542,193993,193993,2432363,77510,144686,230418,250844,185490,49401,2667,308032,18981,26164,38658,17611,163837,17681,7929,21969,6570,40018,7028,4931,4341,29571,21808,7375,,6774,1957,15662,6788,3264,5086,5316,,,7966,3730,2057,4577,,2532,,,2751,2782,11804,,6270,,,,,3969,9734,,2770,4956,5883,,5181,,3007,6850,,,,,2368,,,,,,,,,,,,,,,,2040,2396,2809,,
1241733403045741,,201765839840980,Hometalk,"Buy a cheap Walmart table to copy this genius kitchen organizing idea!",191,"01/21/2023 10:01",,,Lifetime,2388003,203,3074,10225,1217902,55796004.73,25.43,5191,50329,189,819,12243,121241,14709,173580,21166,233037,29675,284779,25588,236147,108761,1099932,442035,449869,2663138,134769,189883,256160,316887,263139,56033,1020,889904,32218,66679,24159,14907,44802,11066,5146,9411,11712,5301,5326,4568,4484,5948,3179,3307,3224,5312,785,3276,3078,1576,4103,1493,1597,1960,3367,,931,2320,1023,,780,1998,1400,1914,2820,975,,,,,,1578,4372,,976,877,,923,1156,,,1023,,,,780,,,,,,,,,,,,,,,,,,,,,
1257511344833218,,201765839840980,Hometalk,"People are flipping out over this genius breadbox hack!",215,"01/22/2023 10:01",,,Lifetime,669434,43,1510,4122,271487,12002106.72,22.53,960,5015,111,310,4678,44315,5235,59506,5375,61583,4892,48742,3140,25516,24391,244987,55076,57191,685434,49479,65227,67428,54027,28842,6056,427,115569,11427,13376,15203,6854,17865,6786,4107,5571,3607,5994,2963,2586,1909,8667,2818,2696,1224,1099,692,4130,2188,1106,1089,738,788,814,1132,663,555,1272,584,496,,673,1021,1076,2510,513,739,,,,,553,3194,,802,606,,,594,,,506,,,,,,,,,,,,,,,,,,,,,,,,,
